// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
40157	4303474	0.051423	-9.755534	-0.036420	-0.004242	0.003232	-0.001778	-89.919731	-0.017297	71.492004
40158	4303499	-0.000371	-9.743738	-0.012154	-0.004186	0.003952	0.002018			
40159	4303524	0.018530	-9.783995	0.029504	0.000492	-0.005078	-0.001900			
40160	4303549	0.005282	-9.760982	-0.027983	-0.003844	0.002655	-0.002478			
40161	4303574	0.024091	-9.786171	-0.010841	-0.003855	0.000517	-0.006276	-89.918037	-0.017149	71.492073
40162	4303599	0.008294	-9.746658	-0.000747	-0.006682	0.003380	-0.003047			
40163	4303624	-0.004711	-9.774280	-0.004440	-0.002159	-0.002092	-0.003091			
40164	4303649	0.001576	-9.739960	-0.009286	-0.002663	0.001705	-0.003771			
40165	4303674	0.028457	-9.748734	-0.034349	-0.003390	0.002603	-0.000817	-89.916809	-0.017296	71.491264
40166	4303699	0.021962	-9.729528	-0.023368	-0.008701	-0.001556	0.000584			
40167	4303724	0.029641	-9.768754	-0.027170	-0.005922	-0.006872	-0.002208			
40168	4303749	0.006868	-9.778160	-0.020269	0.002293	0.000694	-0.003214			
40169	4303774	0.009241	-9.752804	-0.000721	-0.004873	-0.005493	-0.000086	-89.915955	-0.016616	71.493477
40170	4303799	-0.022282	-9.744763	0.006600	-0.007759	0.005169	-0.003353			
40171	4303824	-0.009299	-9.742909	-0.011612	-0.003226	0.000980	-0.005119			
40172	4303849	0.021471	-9.766674	-0.015204	-0.008734	0.003470	-0.003235			
40173	4303874	0.015312	-9.735548	-0.007497	-0.009266	0.001909	-0.004393	-89.916756	-0.017531	71.492233
40174	4303899	0.012469	-9.736091	-0.005044	-0.004712	-0.000465	-0.003649			
40175	4303924	0.027983	-9.756035	-0.022880	-0.006028	0.001074	-0.000434			
40176	4303949	0.034012	-9.744388	-0.003790	-0.009534	0.002223	-0.005932			
40177	4303974	0.016185	-9.775162	0.008376	-0.003335	-0.001539	-0.004497	-89.916801	-0.018223	71.491989
40178	4303999	0.001695	-9.748286	-0.023206	-0.007430	0.000921	0.000402			
40179	4304024	0.014845	-9.778511	0.009317	-0.005095	0.001268	-0.005497			
40180	4304049	-0.002941	-9.759987	-0.006314	0.001891	-0.000866	-0.004314			
40181	4304074	0.038831	-9.750861	-0.010940	-0.006221	-0.001062	-0.000452	-89.915871	-0.018261	71.492249
40182	4304099	0.004632	-9.726888	0.006944	-0.008079	-0.001168	-0.002488			
40183	4304124	0.014253	-9.737688	0.007876	-0.005788	0.001529	-0.001520			
40184	4304149	0.009103	-9.732347	-0.005050	-0.004002	0.003225	-0.006901			
40185	4304174	0.000811	-9.728348	0.006524	-0.005734	0.004114	-0.000994	-89.915916	-0.018578	71.491058
40186	4304199	0.005864	-9.742397	-0.001705	-0.008340	0.000761	-0.006071			
40187	4304224	-0.006978	-9.732294	-0.021722	-0.003752	-0.006777	-0.005479			
40188	4304249	-0.001466	-9.729642	-0.004009	-0.003812	-0.002573	-0.002447			
40189	4304274	-0.000104	-9.727394	0.005012	-0.008835	-0.001502	-0.002812	-89.916138	-0.019596	71.492966
40190	4304299	0.002394	-9.728927	-0.016978	-0.003779	0.002855	-0.001131			
40191	4304324	0.027550	-9.760475	-0.012819	-0.006537	0.000735	-0.001015			
40192	4304349	-0.034733	-9.695518	0.002344	-0.005835	0.000869	-0.005114			
40193	4304374	0.002502	-9.730673	-0.026613	-0.008576	-0.003824	-0.002886	-89.916336	-0.019664	71.493118
40194	4304399	-0.016934	-9.741438	-0.020740	-0.007474	0.000073	-0.002418			
40195	4304424	0.023224	-9.756231	-0.014267	-0.008431	-0.002208	-0.002050			
40196	4304449	0.012110	-9.755206	0.003115	-0.005212	-0.002660	0.000571			
40197	4304474	0.005495	-9.763068	0.015562	-0.007580	-0.002772	-0.003397	-89.917107	-0.019323	71.494659
40198	4304499	-0.004063	-9.751159	0.005148	-0.003241	-0.002639	-0.006419			
40199	4304524	0.015557	-9.746260	-0.021378	-0.006531	-0.001661	-0.005384			
40200	4304549	0.019992	-9.732646	-0.007032	-0.004615	0.001036	0.000204			
40201	4304574	0.029055	-9.742242	0.008308	-0.005901	-0.004864	0.002548	-89.916687	-0.019241	71.495857
40202	4304599	0.020553	-9.748488	0.005474	-0.005533	-0.002205	0.003138			
40203	4304624	0.028897	-9.761167	0.003000	-0.006010	-0.001968	-0.002697			
40204	4304649	0.003695	-9.729785	0.009818	-0.008056	-0.001748	-0.001919			
40205	4304674	0.012146	-9.786379	-0.006527	-0.009522	-0.002222	-0.002879	-89.917519	-0.018489	71.497353
40206	4304699	0.025149	-9.800041	-0.001707	-0.003755	-0.002639	-0.003475			
